code,date,summary,pdf
33/2025/QĐ-UBND,12/06/2025,Quy định mức nộp tiền để Nhà nước bổ sung diện tích đất chuyên trồng lúa bị mất hoặc tăng hiệu quả sử dụng đất trồng lúa trên địa bàn tỉnh Lâm Đồng,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/33-ubnd-ld.pdf
32/2025/QĐ-UBND,12/06/2025,"Sửa đổi, bổ sung một số điều của Quyết định số 27/2024/QĐ-UBND ngày 30 tháng 9 năm 2024 của Ủy ban nhân dân tỉnh Lâm Đồng quy định điều kiện, diện tích tối thiểu được tách thửa đất, hợp thửa đất đối với từng loại đất trên địa bàn tỉnh Lâm Đồng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/32-ubnd-ld.pdf
45/2025/QĐ-UBND,10/06/2025,"Quy định việc phối hợp cung cấp thông tin về nhà ở giữa cơ quan nhà nước có thẩm quyền làm thủ tục cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất và cơ quan quản lý nhà ở trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/vanbangoc_45.signed.pdf
43/2025/QĐ-UBND,10/06/2025,Ban hành định mức kinh tế - kỹ thuật đo đạc lập bản đồ địa chính trên địa bàn tỉnh Bến Tre,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/vanbangoc_43.signed.pdf
42/2025/QĐ-UBND (file 1),10/06/2025,"Ban hành Định mức kinh tế - kỹ thuật lĩnh vực xây dựng cơ sở dữ liệu đất đai trên địa bàn tỉnh Bến Tre (Cơ sở dữ liệu địa chính; Cơ sở dữ liệu thống kê, kiểm kê đất đai)",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/vanbangoc_42.signed.pdf
42/2025/QĐ-UBND (file 2),10/06/2025,"Ban hành Định mức kinh tế - kỹ thuật lĩnh vực xây dựng cơ sở dữ liệu đất đai trên địa bàn tỉnh Bến Tre (Cơ sở dữ liệu địa chính; Cơ sở dữ liệu thống kê, kiểm kê đất đai)",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/vanbangoc_42-pl.pdf
41/2025/QĐ-UBND,10/06/2025,"Ban hành định mức kinh tế - kỹ thuật đăng ký đất đai, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/vanbangoc_41.signed.pdf
201/2025/QH15,29/05/2025,"Thí điểm về một số cơ chế, chính sách đặc thù phát triển nhà ở xã hội",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/201-qh15.signed.pdf
23/2025/QĐ-UBND,26/04/2025,Quy định khung giá cho thuê nhà lưu trú công nhân trong khu công nghiệp trên địa bàn tỉnh Lâm Đồng,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/5/23-qdqp-28.04.2025_09h37p22-_signed.pdf
91/2025/NĐ-CP,24/04/2025,"Quy định thời điểm xác định giá đất của quỹ đất thanh toán theo hợp đồng Xây dựng – Chuyển giao tại Khu đô thị mới Thủ Thiêm, Thành phố Hồ Chí Minh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/4/91-ndcp.signed.pdf
28/2025/QĐ-UBND (file 1),09/04/2025,"Điều chỉnh, bổ sung Bảng giá đất trên địa bàn tỉnh Hà Nam ban hành kèm theo Quyết định số 12/2020/QĐ-UBND ngày 20 tháng 5 năm 2020 Ủy ban nhân dân tỉnh Hà Nam về việc ban hành quy định Bảng giá đất giai đoạn năm 2020-2024 trên địa bàn tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/4/vanbangoc_qd-28.-09.4.2025.-ubnd.pdf
28/2025/QĐ-UBND (file 2),09/04/2025,"Điều chỉnh, bổ sung Bảng giá đất trên địa bàn tỉnh Hà Nam ban hành kèm theo Quyết định số 12/2020/QĐ-UBND ngày 20 tháng 5 năm 2020 Ủy ban nhân dân tỉnh Hà Nam về việc ban hành quy định Bảng giá đất giai đoạn năm 2020-2024 trên địa bàn tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/4/vanbangoc_phu-luc-1-2025-.pdf
28/2025/QĐ-UBND (file 3),09/04/2025,"Điều chỉnh, bổ sung Bảng giá đất trên địa bàn tỉnh Hà Nam ban hành kèm theo Quyết định số 12/2020/QĐ-UBND ngày 20 tháng 5 năm 2020 Ủy ban nhân dân tỉnh Hà Nam về việc ban hành quy định Bảng giá đất giai đoạn năm 2020-2024 trên địa bàn tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/4/vanbangoc_phu-luc-2-2025-.pdf
28/2025/QĐ-UBND (file 4),09/04/2025,"Điều chỉnh, bổ sung Bảng giá đất trên địa bàn tỉnh Hà Nam ban hành kèm theo Quyết định số 12/2020/QĐ-UBND ngày 20 tháng 5 năm 2020 Ủy ban nhân dân tỉnh Hà Nam về việc ban hành quy định Bảng giá đất giai đoạn năm 2020-2024 trên địa bàn tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/4/vanbangoc_phu-luc-3-2025-.pdf
75/2025/NĐ-CP,01/04/2025,Quy định chi tiết thi hành Nghị quyết số 171/2024/QH15 ngày 30 tháng 11 năm 2024 của Quốc hội về thí điểm thực hiện dự án nhà ở thương mại thông qua thỏa thuận về nhận quyền sử dụng đất hoặc đang có quyền sử dụng đất,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/3/75-cp.signed.pdf
17/2025/QĐ-UBND,31/03/2025,"Ban hành quy định việc quản lý, sử dụng nhà chung cư trên địa bàn tỉnh Lâm Đồng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/3/17-ld.signed.pdf
03/2025/NQ-HĐND,27/03/2025,Quy định tiêu chí cụ thể để xác định vị trí đối với từng loại đất; số lượng vị trí đất trong bảng giá đất tại tỉnh Ninh Bình,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/3/03-nb.signed.pdf
08/2025/QĐ-UBND,05/02/2025,"Quy định điều kiện, tiêu chí, quy mô, tỷ lệ phần diện tích đất để tách thành dự án độc lập trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/08.signed.pdf
07/2025/QĐ-UBND,05/02/2025,"Quy định việc rà soát, công bố công khai, lập danh mục các thửa đất nhỏ hẹp, nằm xen kẹt và việc giao đất, cho thuê đất đối với các thửa đất nhỏ hẹp, nằm xen kẹt do Nhà nước quản lý trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/07.signed.pdf
05/2025/QĐ-UBND,17/01/2025,"Sửa đổi, bổ sung một số điều của Quy định ban hành kèm theo Quyết định số 62/2019/QĐ-UBND ngày 31 tháng 12 năm 2019 của UBND tỉnh về việc ban hành quy định giá các loại đất trên địa bàn tỉnh Vĩnh Phúc 5 năm 2020-2024",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/05qp20012025.pdf
03/2025/NĐ-CP,01/01/2025,"Quy định việc sắp xếp lại, xử lý tài sản công là nhà, đất",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/03-1cp.signed.pdf
53/2024/QĐ-UBND,31/12/2024,Quy định Giấy tờ khác về quyền sử dụng đất có trước ngày 15 tháng 10 năm 1993 trên địa bàn tỉnh Lâm Đồng,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/53.2024.qd-ubnd.pdf
50/2024/TT-BTNMT,31/12/2024,"Quy định định mức kinh tế - kỹ thuật điều tra, đánh giá đất đai cấp vùng và cả nước",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/50-btnmt.pdf
48/2024/TT-BTNMT,31/12/2024,"Quy định định mức kinh tế - kỹ thuật thống kê, kiểm kê đất đai, lập bản đồ hiện trạng sử dụng đất và xây dựng cơ sở dữ liệu quốc gia về đất đai",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/48-btnmt.pdf
25/2024/QĐ-TTg,31/12/2024,"Bãi bỏ một phần, toàn bộ một số Quyết định của Thủ tướng Chính phủ thuộc lĩnh vực tài chính đất đai",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/25-ttg.signed.pdf
23/2024/NQ-HĐND,09/12/2024,"Sửa đổi, bổ sung một số Điều của các Nghị quyết của Hội đồng nhân dân tỉnh về Bảng giá đất 05 năm (2020 - 2024) trên địa bàn tỉnh Trà Vinh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/12/23.pdf
20/2024/NQ-HĐND,09/12/2024,"Quy định chế độ ưu đãi miễn tiền thuê đất đối với dự án sử dụng đất vào mục đích sản xuất, kinh doanh thuộc lĩnh vực ưu đãi đầu tư hoặc tại địa bàn ưu đãi đầu tư thuộc danh mục các loại hình, tiêu chí, quy mô, tiêu chuẩn xã hội hóa và dự án phi lợi nhuận trên địa bàn tỉnh Trà Vinh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/12/saoy-20-2024-nq-hdnd.pdf
19/2024/NQ-HĐND,09/12/2024,"Thông qua mức tỷ lệ phần trăm (%) để tính đơn giá thuê đất, mức đơn giá thuê đất xây dựng công trình ngầm, mức đơn giá thuê đất đối với đất có mặt nước trên địa bàn tỉnh Trà Vinh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/12/saoy-19-2024-nq-hdnd-1-.pdf
45/2024/QĐ-UBND,29/11/2024,"Ban hành Quy định các địa điểm, vị trí phải phát triển nhà ở theo dự án không thuộc khu vực đô thị; tiêu chí đối với dự án đầu tư xây dựng nhà ở thương mại tại các đô thị loại IV, loại V phải bố trí quỹ đất để phát triển nhà ở xã hội trên địa bàn tỉnh Lâm Đồng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/11/45-ld.signed.pdf
25/2024/TT-BTNMT,26/11/2024,Quy định về quy trình xây dựng cơ sở dữ liệu quốc gia về đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/01/25-btnmt.pdf
40/2024/QĐ-UBND,31/10/2024,"Đơn giá bồi thường thiệt hại thực tế về nhà, nhà ở và công trình xây dựng để làm căn cứ tính bồi thường khi thu hồi đất trên địa bàn tỉnh Lâm Đồng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/11/40-ld.signed.pdf
23/2024/NQ-HĐND,30/10/2024,"Bãi bỏ Nghị quyết số 38/2023/NQ-HĐND ngày 10 tháng 3 năm 2023 của Hội đồng nhân dân tỉnh Ninh Bình quy định mức chi đối với một số nội dung chi tổ chức thực hiện bồi thường, hỗ trợ, tái định cư và cưỡng chế kiểm đếm, cưỡng chế thu hồi đất trên địa bàn tỉnh Ninh Bình",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/11/23-nb.signed.pdf
17/2024/NQ-HĐND,30/10/2024,"Về việc cấp lại số thu tiền sử dụng đất phần ngân sách tỉnh được hưởng cho các huyện, thành phố để thực hiện các công trình, dự án do cấp huyện làm chủ đầu tư, giai đoạn 2024 - 2025",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/11/17-nb.signed.pdf
34/2024/QĐ-UBND,17/10/2024,Ban hành Quy định điều chỉnh Bảng giá các loại đất giai đoạn 2020 - 2024 trên địa bàn tỉnh Lâm Đồng,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/10/vanbangoc_34.2024.qd-ubnd.pdf
57/2024/QĐ-UBND,07/10/2024,"Ban hành Quy định hạn mức công nhận đất ở; hạn mức giao đất ở, đất nông nghiệp do tự khai hoang, đất chưa sử dụng; hạn mức nhận chuyển quyền sử dụng đất nông nghiệp và hạn mức giao đất cho tổ chức tôn giáo, tổ chức tôn giáo trực thuộc trên địa bàn tỉnh Hà Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/57-hnam.signed.pdf
56/2024/QĐ-UBND,07/10/2024,"Ban hành Quy định về suất tái định cư tối thiểu; điều kiện, diện tích tối thiếu của việc tách thửa, hợp thửa đất và Giấy tờ khác về quyền sử dụng đất có trước ngày 15 tháng 10 năm 1993 trên địa bàn tỉnh Hà Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/56-hn.signed.pdf
123/2024/NĐ-CP,04/10/2024,Quy định về xử phạt vi phạm hành chính trong lĩnh vực đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/123-cp.signed.pdf
27/2024/QĐ-UBND,30/09/2024,"Quy định điều kiện, diện tích tối thiểu được tách thửa đất, hợp thửa đất đối với từng loại đất trên địa bàn tỉnh Lâm Đồng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/27-ld.signed.pdf
108/2024/NĐ-CP,23/08/2024,"Quy định việc quản lý, sử dụng và khai thác nhà, đất là tài sản công không sử dụng vào mục đích để ở giao cho tổ chức có chức năng quản lý, kinh doanh nhà địa phương quản lý, khai thác",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/108-cp-nd.signed.pdf
33/2024/QĐ-UBND,01/08/2024,Ban hành Quy định một số chỉ tiêu cụ thể khi áp dụng phương pháp định giá đất theo Nghị định 71/2024/NĐ-CP ngày 27/6/2024 của Chính phủ trên địa bàn tỉnh Hà Nam,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/33-ha-nam.signed.pdf
17/2024/QĐ-UBND,01/08/2024,"Ban hành Quy định về bồi thường nhà, nhà ở, công trình xây dựng gắn liền với đất; bồi thường di chuyển mồ mả; chi phí tháo dỡ, phá dỡ, di chuyển tài sản và bồi thường cải tạo, sửa chữa nhà ở thuộc sở hữu nhà nước khi Nhà nước thu hồi đất trên địa bàn tỉnh Phú Thọ",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/17-pt.signed.pdf
16/2024/QĐ-UBND,01/08/2024,"Ban hành Quy định một số nội dung về quản lý, sử dụng đất trên địa bàn tỉnh Phú Thọ",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/16-pt.signed.pdf
15/2024/QĐ-UBND,01/08/2024,"Ban hành Quy định một số nội dung về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất trên địa bàn tỉnh Phú Thọ",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/15-pt.signed.pdf
10/2024/TT-BTNMT,31/07/2024,"Quy định về hồ sơ địa chính, Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/10-btnmt.pdf
,,,
104/2024/NĐ-CP,31/07/2024,Quy định về Quỹ phát triển đất,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/104-nd.signed.pdf
23/2024/QĐ-UBND,31/07/2024,"Về việc sửa đổi, bổ sung Bảng giá các loại đất trên địa bàn tỉnh Bến Tre giai đoạn 2020 - 2024",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/23-bt.signed.pdf
103/2024/NĐ-CP,30/07/2024,"Quy định về tiền sử dụng đất, tiền thuê đất",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/103-nd.signed.pdf
102/2024/NĐ-CP (file 1),30/07/2024,Quy định chi tiết thi hành một số điều của Luật Đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/10/102-cp.signed.pdf
102/2024/NĐ-CP (file 2),30/07/2024,Quy định chi tiết thi hành một số điều của Luật Đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/10/pl.pdf
101/2024/NĐ-CP,29/07/2024,"Quy định về điều tra cơ bản đất đai; đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất và Hệ thống thông tin đất đai",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/101-nd.signed.pdf
100/2024/NĐ-CP,26/07/2024,Quy định chi tiết một số điều của Luật Nhà ở về phát triển và quản lý nhà ở xã hội,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/100-2024-cp.signed.pdf
98/2024/NĐ-CP,25/07/2024,"Quy định chi tiết một số điều của Luật Nhà ở về cải tạo, xây dựng lại nhà chung cư",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/98-cp.signed.pdf
96/2024/NĐ-CP,24/07/2024,Quy định chi tiết một số điều của Luật Kinh doanh bất động sản,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/96-nd.signed.pdf
94/2024/NĐ-CP,24/07/2024,"Quy định chi tiết một số điều của Luật Kinh doanh bất động sản về xây dựng và quản lý hệ thống thông tin, cơ sở dữ liệu về nhà ở và thị trường bất động sản",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/8/94-nd.signed.pdf
88/2024/NĐ-CP,15/07/2024,"Quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/88nd.signed.pdf
17/2024/QĐ-UBND,15/07/2024,"Sửa đổi, bổ sung số thứ tự 66 Phụ lục I Quy định ban hành kèm theo Quyết định số 40/2022/QĐ-UBND ngày 20 tháng 12 năm 2022 của Ủy ban nhân dân tỉnh Quảng Nam quy định đơn giá bồi thường, hỗ trợ đối với cây trồng, vật nuôi là thủy sản khi Nhà nước thu hồi đất trên địa bàn tỉnh Quảng Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/17quangnam.signed.pdf
05/2024/NQ-HĐND,10/07/2024,Về việc thông qua Hệ số điều chỉnh giá đất năm 2024 trên địa bàn tỉnh Ninh Bình,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/05-nb.signed.pdf
71/2024/NĐ-CP,27/06/2024,Quy định về giá đất,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/7/71-cp.signed.pdf
20/2024/QĐ-UBND,18/06/2024,Quy định hệ số điều chỉnh giá đất làm cơ sở xác định nghĩa vụ tài chính đối với người sử dụng đất trên địa bàn tỉnh Bến Tre năm 2024,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/6/20-btre.signed.pdf
08/2024/QĐ-UBND,05/04/2024,"Sửa đổi, bổ sung một số điều của Quy định hệ số điều chỉnh giá đất năm 2024 trên địa bàn tỉnh Quảng Nam ban hành kèm theo Quyết định số 36/2023/QĐ-UBND ngày 20 tháng 12 năm 2023 của UBND tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/4/08-qn.signed.pdf
12/2024/NĐ-CP,05/02/2024,"Sửa đổi, bổ sung một số điều của Nghị định số 44/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định về giá đất và Nghị định số 10/2023/NĐ-CP ngày 03 tháng 4 năm 2023 của Chính phủ sửa đổi, bổ sung một số điều của các nghị định hướng dẫn thi hành Luật Đất đai",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/02/12-cp.signed.pdf
31/2024/QH15 (file 1),18/01/2024,Luật Đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/31-2024-qh15_1.pdf
31/2024/QH15 (file 2),18/01/2024,Luật Đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/31-2024-qh15_2.pdf
31/2024/QH15 (file 3),18/01/2024,Luật Đất đai,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/9/31-2024-qh15_3.pdf
28/2023/QĐ-UBND,21/12/2023,Quy định hệ số điều chỉnh giá đất năm 2024 trên địa bàn tỉnh Phú Thọ,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/28-pt.signed.pdf
55/2023/QĐ-UBND,20/12/2023,"Về việc ban hành giá dịch vụ đăng ký đất đai, tài sản gắn liền với đất, cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/55-2023-bt.signed.pdf
36/2023/QĐ-UBND,20/12/2023,Ban hành Quy định hệ số điều chỉnh giá đất năm 2024 trên địa bàn tỉnh Quảng Nam,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/36-qn.signed.pdf
24/2023/NQ-HĐND,08/12/2023,Về việc thông qua hệ số điều chỉnh giá đất năm 2024 trên địa bàn tỉnh Trà Vinh,https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/12/24-tvinh.signed.pdf
06/2023/NQ-HĐND,08/12/2023,"Về việc thông qua Hệ số điều chỉnh giá đất năm 2024 để xác định giá đất cụ thể tính thu tiền sử dụng đất, tiền thuê đất, giá khởi điểm để đấu giá quyền sử dụng đất trên địa bàn tỉnh Ninh Bình",https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/06-nb.signed.pdf
29/2023/QH15,28/11/2023,Luật Kinh doanh bất động sản,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/luat29.pdf
27/2023/QH15 (file 1),27/11/2023,Luật Nhà ở,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/luat27.pdf
27/2023/QH15 (file 2),27/11/2023,Luật Nhà ở,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/01/luat27_tiep.pdf
52/2023/QĐ-UBND,07/11/2023,"Sửa đổi, bổ sung một số điều của Quy định hạn mức giao đất, công nhận quyền sử dụng đất; chia tách, hợp thửa đất trên địa bàn tỉnh Hà Nam ban hành kèm theo Quyết định số 36/2017/QĐ-UBND ngày 31 tháng 8 năm 2017 của Ủy ban nhân dân tỉnh Hà Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/11/52-hn.signed.pdf
28/2023/QĐ-UBND,26/10/2023,"Sửa đổi, bổ sung một số điều của Quy định về đấu giá quyền sử dụng đất để giao đất có thu tiền sử dụng đất hoặc cho thuê đất trên địa bàn tỉnh Quảng Nam ban hành kèm theo Quyết định số 21/2021/QĐ-UBND ngày 28 tháng 9 năm 2021 của UBND tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/10/28-qn.signed.pdf
47/2023/QĐ-UBND,27/09/2023,"Quy định mức chi tổ chức thực hiện bồi thường, hỗ trợ, tái định cư và cưỡng chế kiểm đếm, cưỡng chế thu hồi đất khi Nhà nước thu hồi đất trên địa bàn tỉnh Hà Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/9/47-hn.signed.pdf
20/2023/NQ-HĐND,31/07/2023,Hỗ trợ hộ mới thoát nghèo đã được hỗ trợ nhà ở từ nguồn Quỹ An sinh xã hội tỉnh được vay vốn để xây dựng nhà ở trên địa bàn tỉnh Trà Vinh,https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/8/20-tv.signed.pdf
34/2023/QĐ-UBND,19/07/2023,"Ban hành Quy chế phối hợp xây dựng, duy trì hệ thống thông tin, chia sẻ, cung cấp thông tin, dữ liệu về nhà ở và thị trường bất động sản trên địa bàn tỉnh Hà Nam",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/7/34-hn.signed.pdf
06/2023/NQ-HĐND,14/07/2023,"Quy định một số mức chi liên quan công tác tổ chức thực hiện bồi thường, hỗ trợ, tái định cư và cưỡng chế kiểm đếm, cưỡng chế thu hồi đất khi Nhà nước thu hồi đất trên địa bàn tỉnh Phú Thọ",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/7/06-pt.signed.pdf
14/2023/QĐ-UBND,13/07/2023,"Sửa đổi, bổ sung một số điều của các Quyết định quy định cụ thể về quản lý, sử dụng đất đai trên địa bàn tỉnh Phú Thọ",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/7/14phutho.signed.pdf
97/2023/NQ-HĐND,12/07/2023,"Thông qua điều chỉnh, bổ sung nội dung Bảng giá các loại đất giai đoạn 2020 - 2024 trên địa bàn tỉnh Ninh Bình ban hành kèm theo Nghị quyết số 59/2019/NQ-HĐND ngày 06 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2023/8/97-nbinh.signed.pdf
