so_hieu,level,title,heading,path,ordinal,content
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/3/1,3001.0,"nhiệm thi hành Quyết định này.
Nơi nhận:
KT.HIỆU TRƯỞNG
-
-   Như Điều 3;
-
-   Lưu: VT, ĐTĐH (Nh)
PHÓ HIỆU TRƯỞNG
Đ
Vũ Đức Lung
Chương
trình
Chứng
chỉ"
1139,chuong,Chương,,0,0.0,
1139,dieu,Điều 1,Ban hành kèm theo Quyết định này “Quy định tổ chức thi các môn học hệ đại,0/1,1.0,học chính quy của Trường Đại học Công nghệ Thông tin”.
1139,khoan,Khoản 1,,0/1/1,1001.0,học chính quy của Trường Đại học Công nghệ Thông tin”.
1139,dieu,Điều 2,"Các Ông/Bà Trưởng các Phòng, Ban, các đơn vị có liên quan và sinh viên chính",0/2,2.0,"quy của Trường Đại học Công nghệ Thông tin chịu trách nhiệm thi hành Quyết định này.
Quyết định có hiệu lực kể từ ngày ký./.
Nơi nhận:
KT. HIỆU TRƯỞNG
- Như Điều 2;
- Lưu: VT, ĐTĐH (Pt).
PHÓ HIỆU TRƯỞNG
(Đã ký)
Nguyễn Lưu Thùy Ngân
2
QUY ĐỊNH
Tổ chức thi các môn học hệ đại học chính quy của
Trường Đại học Công nghệ Thông tin
(Ban hành kèm theo Quyết định số 1139/QĐ-ĐHCNTT ngày 20 tháng 12 năm 2022)"
1139,khoan,Khoản 1,,0/2/1,2001.0,"quy của Trường Đại học Công nghệ Thông tin chịu trách nhiệm thi hành Quyết định này.
Quyết định có hiệu lực kể từ ngày ký./.
Nơi nhận:
KT. HIỆU TRƯỞNG
- Như Điều 2;
- Lưu: VT, ĐTĐH (Pt).
PHÓ HIỆU TRƯỞNG
(Đã ký)
Nguyễn Lưu Thùy Ngân
2
QUY ĐỊNH
Tổ chức thi các môn học hệ đại học chính quy của
Trường Đại học Công nghệ Thông tin
(Ban hành kèm theo Quyết định số 1139/QĐ-ĐHCNTT ngày 20 tháng 12 năm 2022)"
1139,chuong,Chương 1,,1,1.0,
1139,dieu,Điều 1,Phạm vi điều chỉnh và đối tượng áp dụng,1/1,1001.0,"1. Mỗi học kỳ, Trường Đại học Công nghệ Thông tin thuộc Đại học Quốc gia thành phố
Hồ Chí Minh (Trường) tổ chức 01 lần thi lý thuyết giữa kỳ và 01 lần thi lý thuyết cuối kỳ tập
trung trực tiếp hoặc trực tuyến (gọi chung là thi) cho các môn học được mở trong học kỳ đó.
Thời gian tổ chức thi được qui định trên biểu đồ giảng dạy năm học. Quy định này quy định
chung về việc tổ chức các đợt thi bao gồm các công tác: chuẩn bị thi, tổ chức thi, chấm thi,
công bố điểm, phúc khảo, chế độ lưu trữ và xử lý vi phạm. Quy định này áp dụng đối với hệ
đại học chính quy. Các chương trình đặc biệt có thể có kế hoạch thi riêng tùy theo đặc thù của
chương trình.
2. Các hình thức thi bao gồm:
a) Tự luận (hoặc tự luận kết hợp với trắc nghiệm)
b) Trắc nghiệm
c) Vấn đáp
d) Đồ án
3. Việc tổ chức thi theo hình thức trực tuyến thực hiện theo quy định riêng."
1139,khoan,Khoản 1,,1/1/1,1001.0,"Mỗi học kỳ, Trường Đại học Công nghệ Thông tin thuộc Đại học Quốc gia thành phố
Hồ Chí Minh (Trường) tổ chức 01 lần thi lý thuyết giữa kỳ và 01 lần thi lý thuyết cuối kỳ tập
trung trực tiếp hoặc trực tuyến (gọi chung là thi) cho các môn học được mở trong học kỳ đó.
Thời gian tổ chức thi được qui định trên biểu đồ giảng dạy năm học. Quy định này quy định
chung về việc tổ chức các đợt thi bao gồm các công tác: chuẩn bị thi, tổ chức thi, chấm thi,
công bố điểm, phúc khảo, chế độ lưu trữ và xử lý vi phạm. Quy định này áp dụng đối với hệ
đại học chính quy. Các chương trình đặc biệt có thể có kế hoạch thi riêng tùy theo đặc thù của
chương trình."
1139,khoan,Khoản 2,,1/1/2,1002.0,"Các hình thức thi bao gồm:
a) Tự luận (hoặc tự luận kết hợp với trắc nghiệm)
b) Trắc nghiệm
c) Vấn đáp
d) Đồ án"
1139,diem,Điểm a),,1/1/2/a,1002.01,Tự luận (hoặc tự luận kết hợp với trắc nghiệm)
1139,diem,Điểm b),,1/1/2/b,1002.02,Trắc nghiệm
1139,diem,Điểm c),,1/1/2/c,1002.03,Vấn đáp
1139,diem,Điểm d),,1/1/2/d,1002.04,Đồ án
1139,khoan,Khoản 3,,1/1/3,1003.0,Việc tổ chức thi theo hình thức trực tuyến thực hiện theo quy định riêng.
1139,dieu,Điều 2,Chỉ đạo công tác thi,1/2,1002.0,"Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách đào tạo đại học trực tiếp chỉ đạo công tác thi.
Phòng Đào tạo Đại học (P.ĐTĐH) là đơn vị lập kế hoạch và điều hành công tác tổ chức thi."
1139,khoan,Khoản 1,,1/2/1,2001.0,"Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách đào tạo đại học trực tiếp chỉ đạo công tác thi.
Phòng Đào tạo Đại học (P.ĐTĐH) là đơn vị lập kế hoạch và điều hành công tác tổ chức thi."
1139,dieu,Điều 3,"Hoạt động thanh tra, kiểm tra, giám sát công tác thi",1/3,1003.0,"Phòng Thanh tra Pháp chế và Đảm bảo Chất lượng có trách nhiệm tổ chức thanh tra, kiểm
tra và giám sát công tác tổ chức thi."
1139,khoan,Khoản 1,,1/3/1,3001.0,"Phòng Thanh tra Pháp chế và Đảm bảo Chất lượng có trách nhiệm tổ chức thanh tra, kiểm
tra và giám sát công tác tổ chức thi."
1139,dieu,Điều 4,Điều kiện dự thi,1/4,1004.0,"Sinh viên (SV) được dự thi nếu đáp ứng các điều kiện sau đây:
1. SV có tên trong danh sách thi hoặc có giấy vào phòng thi được cấp bởi Phòng Đào tạo
Đại học (P.ĐTĐH). SV có đăng ký môn học hợp lệ trong học kỳ và đóng học phí đầy đủ trước
thời hạn quy định được dự thi.
3
2. Khi dự thi, SV mang theo một trong những giấy tờ chứng minh cá nhân hợp lệ sau
đây: thẻ SV được cấp bởi Trường ĐH CNTT, chứng minh nhân dân, căn cước công dân hoặc
bằng lái xe."
1139,khoan,Khoản 1,,1/4/1,4001.0,"SV có tên trong danh sách thi hoặc có giấy vào phòng thi được cấp bởi Phòng Đào tạo
Đại học (P.ĐTĐH). SV có đăng ký môn học hợp lệ trong học kỳ và đóng học phí đầy đủ trước
thời hạn quy định được dự thi.
3"
1139,khoan,Khoản 2,,1/4/2,4002.0,"Khi dự thi, SV mang theo một trong những giấy tờ chứng minh cá nhân hợp lệ sau
đây: thẻ SV được cấp bởi Trường ĐH CNTT, chứng minh nhân dân, căn cước công dân hoặc
bằng lái xe."
1139,chuong,Chương 2,,2,2.0,
1139,dieu,Điều 10,Xử lý các sự cố bất thường của đề thi,2/10,2010.0,"1. Nếu phát hiện sai sót trong đề thi, các CBCT phải báo cáo ngay cho đơn vị tổ chức
môn thi đó để có phương án xử lý thích hợp. Tùy theo tính chất và mức độ sai sót nặng hay
nhẹ, tùy theo sai sót xảy ra ở một câu hay nhiều câu của đề thi, tùy theo thời gian phát hiện
sớm hay muộn, lãnh đạo trực thi cân nhắc và ra quyết định xử lý. Trong trường hợp sai sót
nặng, phải báo cáo và xin ý kiến Hiệu trưởng.
2. Khi đề thi bị lộ, Hiệu trưởng quyết định đình chỉ thi hoặc hủy kết quả môn thi đó, Đơn
vị tổ chức thi có trách nhiệm kiểm tra, xác minh, kết luận nguyên nhân lộ đề thi, người làm
lộ đề thi và những người liên quan, tiến hành xử lý theo quy định.
5"
1139,khoan,Khoản 1,,2/10/1,10001.0,"Nếu phát hiện sai sót trong đề thi, các CBCT phải báo cáo ngay cho đơn vị tổ chức
môn thi đó để có phương án xử lý thích hợp. Tùy theo tính chất và mức độ sai sót nặng hay
nhẹ, tùy theo sai sót xảy ra ở một câu hay nhiều câu của đề thi, tùy theo thời gian phát hiện
sớm hay muộn, lãnh đạo trực thi cân nhắc và ra quyết định xử lý. Trong trường hợp sai sót
nặng, phải báo cáo và xin ý kiến Hiệu trưởng."
1139,khoan,Khoản 2,,2/10/2,10002.0,"Khi đề thi bị lộ, Hiệu trưởng quyết định đình chỉ thi hoặc hủy kết quả môn thi đó, Đơn
vị tổ chức thi có trách nhiệm kiểm tra, xác minh, kết luận nguyên nhân lộ đề thi, người làm
lộ đề thi và những người liên quan, tiến hành xử lý theo quy định.
5"
1139,dieu,Điều 11,Quy trình chuẩn bị cho kỳ thi,2/11,2011.0,"1. Đầu vào, đầu ra
Đầu vào: Thời khóa biểu của học kỳ, thông tin môn học ghi trong đề cương môn học,
ĐKHP của SV.
Đầu ra: Lịch thi, danh sách phân công CBCT, danh sách SV các phòng thi, danh sách
phòng thi, túi đề thi, sổ theo dõi bàn giao bài thi và bảng điểm.
Thời gian: Quy trình được tính bằng ngày (gồm cả ngày nghỉ), diễn ra theo các mốc thời
gian: ngày thi đầu tiên của đợt thi t1; ngày thi của môn học t2.
2. Sơ đồ tóm tắt
1a. Xây dựng kế
hoạch thi
1b. Xếp lịch thi,
đưa lịch thi lên hệ
thống
2a. Lập danh sách
miễn giảm coi thi
2b. Thông báo CB,
SV đăng ký coi thi
3a. Phân công
CBCT
P.
Đ
T
Đ
H
/
V
P
Đ
B
K
H
O
A
2c. Ra đề thi
3b. Nhân đề thi
Nhận vật tư thi
5a. Lập Sổ theo
dõi bàn giao
4a. Lập DS thi,
bàn giao DS
thi và vật tư
4b. Nhận DS
thi
5b. Lập Sổ
theo dõi bàn
giao
6
3. Nội dung quy trình
Bước
Quy trình
Mô tả chi tiết công việc
Thời
hạn
hoàn
thành
(ngày)
Đơn vị
thực hiện
Đơn vị
phối
hợp
Biểu mẫu
1
Xây dựng
kế hoạch
thi
– Xếp lịch thi
– Tách lớp, tạo phòng thi
– Nhập lịch thi vào hệ thống
để phát hiện trùng lịch thi,
phòng thi, …
– Gửi lịch thi cho các đơn vị
liên quan, nhận phản hồi
(nếu có).
– Thông báo lịch thi cho
sinh viên và các đơn vị liên
quan
t1-30
P.ĐTĐH/
VPĐB
Khoa
– Lịch thi
(THI-M01)
– Lịch coi
thi (THI-
M02)
2a
Lập DS
CBGD
miễn
giảm và
thông báo
đăng ký
coi thi
– P.ĐTĐH gửi danh sách
CBGD miễn giảm coi thi gửi
về Khoa, nhận phản hồi (nếu
có).
– Thông báo CB, SV đăng
ký coi thi
t1-10
P.ĐTĐH
– Danh
sách miễn
giảm coi
thi
2b
Ra đề thi
– Khoa tổ chức ra đề thi.
t2-7
Khoa
– Mẫu đề
thi (THI-
M11)
3a
Phân
công
CBCT
– Sau thời gian Khoa phản
hồi danh sách miễn giảm coi
thi, P.ĐTĐH phối hợp
P.DL&CNTT phân công
CBCT
t1-7
P.ĐTĐH
– Lịch coi
thi
3b
Nhân đề
thi
Nhận vật
tư thi
– Đơn vị tổ chức thi nhân đề
thi.
– Khoa nhận vật tư thi
– Thư viện hỗ trợ kỹ thuật
cho việc nhân đề thi.
t2-3
Khoa/
P.ĐTĐH/
VPĐB
Thư
viện
– Mẫu
nhãn túi đề
(THI-M05)
4a
Lập danh
sách thi
– P.ĐTĐH lập danh sách SV
dự thi.
– P.ĐTĐH bàn giao danh
sách SV dự thi và vật tư thi
cho các đơn vị tổ chức thi.
t1-7
P.ĐTĐH/
VPĐB
– Danh
sách thi
(THI-M03)
7
4b
Nhận DS
và vật tư
– Nhận bàn giao danh sách
SV dự thi.
t1-3
Khoa
– Danh
sách thi
(THI-M03)
5
Lập Sổ
theo dõi
bàn giao
bài thi và
bảng
điểm
– Đơn vị tổ chức thi/Khoa
lập Sổ theo dõi bàn giao bài
thi và bảng điểm.
t2-7
P.ĐTĐH/
VPĐB/
Khoa
– Sổ theo
dõi bàn
giao bài thi
và bảng
điểm
(THI-M08)"
1139,khoan,Khoản 1,,2/11/1,11001.0,"Đầu vào, đầu ra
Đầu vào: Thời khóa biểu của học kỳ, thông tin môn học ghi trong đề cương môn học,
ĐKHP của SV.
Đầu ra: Lịch thi, danh sách phân công CBCT, danh sách SV các phòng thi, danh sách
phòng thi, túi đề thi, sổ theo dõi bàn giao bài thi và bảng điểm.
Thời gian: Quy trình được tính bằng ngày (gồm cả ngày nghỉ), diễn ra theo các mốc thời
gian: ngày thi đầu tiên của đợt thi t1; ngày thi của môn học t2."
1139,khoan,Khoản 2,,2/11/2,11002.0,"Sơ đồ tóm tắt
1a. Xây dựng kế
hoạch thi
1b. Xếp lịch thi,
đưa lịch thi lên hệ
thống
2a. Lập danh sách
miễn giảm coi thi
2b. Thông báo CB,
SV đăng ký coi thi
3a. Phân công
CBCT
P.
Đ
T
Đ
H
/
V
P
Đ
B
K
H
O
A
2c. Ra đề thi
3b. Nhân đề thi
Nhận vật tư thi
5a. Lập Sổ theo
dõi bàn giao
4a. Lập DS thi,
bàn giao DS
thi và vật tư
4b. Nhận DS
thi
5b. Lập Sổ
theo dõi bàn
giao
6"
1139,khoan,Khoản 3,,2/11/3,11003.0,"Nội dung quy trình
Bước
Quy trình
Mô tả chi tiết công việc
Thời
hạn
hoàn
thành
(ngày)
Đơn vị
thực hiện
Đơn vị
phối
hợp
Biểu mẫu
1
Xây dựng
kế hoạch
thi
– Xếp lịch thi
– Tách lớp, tạo phòng thi
– Nhập lịch thi vào hệ thống
để phát hiện trùng lịch thi,
phòng thi, …
– Gửi lịch thi cho các đơn vị
liên quan, nhận phản hồi
(nếu có).
– Thông báo lịch thi cho
sinh viên và các đơn vị liên
quan
t1-30
P.ĐTĐH/
VPĐB
Khoa
– Lịch thi
(THI-M01)
– Lịch coi
thi (THI-
M02)
2a
Lập DS
CBGD
miễn
giảm và
thông báo
đăng ký
coi thi
– P.ĐTĐH gửi danh sách
CBGD miễn giảm coi thi gửi
về Khoa, nhận phản hồi (nếu
có).
– Thông báo CB, SV đăng
ký coi thi
t1-10
P.ĐTĐH
– Danh
sách miễn
giảm coi
thi
2b
Ra đề thi
– Khoa tổ chức ra đề thi.
t2-7
Khoa
– Mẫu đề
thi (THI-
M11)
3a
Phân
công
CBCT
– Sau thời gian Khoa phản
hồi danh sách miễn giảm coi
thi, P.ĐTĐH phối hợp
P.DL&CNTT phân công
CBCT
t1-7
P.ĐTĐH
– Lịch coi
thi
3b
Nhân đề
thi
Nhận vật
tư thi
– Đơn vị tổ chức thi nhân đề
thi.
– Khoa nhận vật tư thi
– Thư viện hỗ trợ kỹ thuật
cho việc nhân đề thi.
t2-3
Khoa/
P.ĐTĐH/
VPĐB
Thư
viện
– Mẫu
nhãn túi đề
(THI-M05)
4a
Lập danh
sách thi
– P.ĐTĐH lập danh sách SV
dự thi.
– P.ĐTĐH bàn giao danh
sách SV dự thi và vật tư thi
cho các đơn vị tổ chức thi.
t1-7
P.ĐTĐH/
VPĐB
– Danh
sách thi
(THI-M03)
7
4b
Nhận DS
và vật tư
– Nhận bàn giao danh sách
SV dự thi.
t1-3
Khoa
– Danh
sách thi
(THI-M03)
5
Lập Sổ
theo dõi
bàn giao
bài thi và
bảng
điểm
– Đơn vị tổ chức thi/Khoa
lập Sổ theo dõi bàn giao bài
thi và bảng điểm.
t2-7
P.ĐTĐH/
VPĐB/
Khoa
– Sổ theo
dõi bàn
giao bài thi
và bảng
điểm
(THI-M08)"
1139,dieu,Điều 12,Trách nhiệm của cán bộ coi thi,2/12,2012.0,"1. CBCT phải có mặt tại địa điểm tập trung của đơn vị tổ chức thi ít nhất 15 phút trước
giờ bắt đầu thi để nhận danh sách thi, giấy thi, giấy nháp, túi đề thi (yêu cầu kiểm tra kỹ niêm
phong túi đề) và nghe phổ biến các quy định cần thiết (trong trường hợp cần thiết).
2. Trước giờ thi 10 phút, tại phòng thi, các CBCT phải hoàn tất đánh số chỗ ngồi theo
danh sách (dùng số thứ tự SV trong danh sách để đánh số) – tuyệt đối không để SV tự sắp
chỗ trong phòng thi. Trong thời gian coi thi, CBCT kiểm tra giấy tờ chứng minh cá nhân hợp
lệ, đối chiếu hình, đối chiếu tên với danh sách dự thi. CBCT không được cho vào phòng thi
các SV không có tên trong danh sách và cũng không có giấy vào phòng thi được cấp bởi
P.ĐTĐH. Nếu SV có khiếu nại, CBCT hướng dẫn SV tới ngay P.ĐTĐH để xác minh giải
quyết. CBCT lưu ý thu lại giấy vào phòng thi của SV để bàn giao cùng túi bài thi.
3. CBCT phổ biến quy chế, quy định, trách nhiệm của sinh viên dự thi (Điều 13 Quy định
này); giấy thi và giấy nháp của SV phải có đầy đủ chữ ký, ghi rõ họ tên của tất cả CBCT;
hướng dẫn và kiểm tra SV gấp giấy thi đúng quy cách, ghi số thứ tự và điền đủ vào các mục
cần thiết của giấy thi trước khi làm bài; ghi thông tin tên môn thi, thời gian thi và biểu đồ thời
gian lên bảng.
4. Khi bắt đầu giờ mở đề, 1 CBCT giơ cao phong bì đề thi để SV thấy rõ cả mặt trước và
mặt sau còn nguyên nhãn niêm phong, mời 1 đại diện SV ký tên xác nhận tình trạng niêm
phong lên nhãn của túi đề thi; bóc phong bì đựng đề thi và phát đề thi cho từng SV (trước khi
phát đề thi cần kiểm tra số lượng đề thi, nếu thiếu hoặc lẫn đề khác, cần báo ngay cho cán bộ
trực thi của đơn vị tổ chức thi xử lý). Khi sinh viên cuối cùng nhận được đề thi, CBCT cho
phép sinh viên lật đề thi lên và yêu cầu sinh viên kiểm tra tình trạng đề thi trước khi làm bài.
Nếu có bất kỳ vấn đề gì về đề thi, CBCT cần báo ngay cho cán bộ trực thi của đơn vị tổ chức
thi xử lý. CBCT phải phát đề thi đúng giờ qui định bắt đầu ca thi.
5. Trong giờ làm bài, phải luôn có CBCT bao quát từ đầu phòng đến cuối phòng và CBCT
bao quát từ cuối phòng đến đầu phòng cho đến hết giờ thi. CBCT không đứng gần SV khi họ
làm bài. Khi SV hỏi điều gì, CBCT chỉ được trả lời công khai trong phạm vi quy định.
6. CBCT không được giúp đỡ SV làm bài thi dưới bất kỳ hình thức nào; không được làm
việc riêng, không được hút thuốc, uống bia, rượu, phải có mặt đúng giờ và thường xuyên tại
8
phòng thi để làm các nhiệm vụ. Các CBCT phải bảo vệ đề thi trong khi thi, không để lọt đề
thi ra ngoài phòng thi. Các CBCT và những người làm nhiệm vụ phục vụ thi không được thảo
luận, sao chép, giải đề, mang đề ra ngoài hoặc giải thích đề thi cho SV.
7. Nếu có SV vi phạm quy định thi thì CBCT phải lập biên bản xử lý (Mẫu THI-M06).
Nếu có tình huống bất thường phải báo cáo ngay cho Trưởng đơn vị tổ chức thi giải quyết;
8. Trước khi hết giờ làm bài 15 phút CBCT thông báo thời gian còn lại cho SV biết;
9. Khi hết giờ làm bài, CBCT yêu cầu SV ngừng làm bài và thu bài của tất cả SV, kể cả
SV đã bị xử lý vi phạm. Một CBCT duy trì trật tự và kỷ luật phòng thi. Một CBCT vừa gọi
tên từng SV lên nộp bài, vừa nhận bài thi của SV. Khi nhận bài phải đếm đủ số tờ giấy thi của
SV đã nộp, yêu cầu SV tự ghi đúng số tờ và ký tên vào danh sách. CBCT tuyệt đối không tự
ý thêm tên và cho SV ký thêm vào danh sách thi.
10. Các CBCT kiểm tra sắp xếp bài thi theo thứ tự SV trong danh sách. Các biên bản xử
lý vi phạm (nếu có) phải kèm theo bài thi của SV. Một CBCT mang túi bài thi đến bàn giao
bài thi cho cán bộ trực thi của đơn vị tổ chức thi ngay sau mỗi buổi thi. Mỗi túi bài thi phải
được kiểm tra công khai và đối chiếu số bài và số tờ của từng bài kèm theo biên bản theo dõi
SV và các biên bản xử lý vi phạm cùng tang vật (nếu có);
11. Sau khi bàn giao xong bài thi, từng túi đựng bài thi được cán bộ trực thi niêm phong
và ký niêm phong. Cán bộ trực thi và 01 CBCT ghi rõ họ tên và ký vào biên bản bàn giao.
Tuyệt đối không được để nhầm lẫn hoặc mất bài thi.
12. Đối với môn thi trắc nghiệm, ngoài trách nhiệm được quy định tại Khoản 1 Điều này,
CBCT phải thực hiện các công việc sau:
a) Nhận phiếu trả lời trắc nghiệm (TLTN), kí tên vào phiếu TLTN.
b) Phát phiếu TLTN và hướng dẫn SV điền vào phiếu TLTN.
c) Phát đề thi cho SV sao cho 2 SV ngồi cạnh nhau (theo cả hàng ngang và hàng dọc)
không có cùng mã đề thi.
d) Kiểm tra việc ghi và tô mã đề thi vào phiếu TLTN của SV (so sánh mã đề thi đã ghi, tô
trên phiếu TLTN và ghi trên phiếu thu bài thi với mã đề thi ghi trên tờ đề thi của SV).
e) Bàn giao cho cán bộ trực thi túi phiếu TLTN và các phiếu TLTN chưa sử dụng.
13. Đối với môn thi trên máy tính tại phòng máy, ngoài trách nhiệm được quy định tại
Khoản 1 Điều này, CBCT phải thực hiện các công việc sau:
a) Đảm bảo khoảng cách hợp lý giữa 02 SV.
b) Kiểm tra việc máy tính có được truy cập internet hoặc mạng cục bộ theo quy định ghi
trên đề thi."
